video,highlight_second,emotion_before,emotion_now,diff
cut_王立華,1,none,none,0.0
cut_王立華,96,none,none,0.0
cut_王立華,98,none,none,0.0
cut_溝通藝術,1,none,none,0.0
cut_溝通藝術,95,none,none,0.0
cut_溝通藝術,97,none,none,0.0
cut_蔡善雯,1,none,none,0.0
cut_蔡善雯,95,none,none,0.0
cut_蔡善雯,97,none,none,0.0
cut_王奕凱,30,none,joy,8.0
cut_王奕凱,57,joy,none,8.0
cut_王奕凱,112,none,none,0.0
